PLAYER_NAME,OPP_TIER,GAMES,PPG,TOTAL_PTS,TOTAL_TS_DENOM,TS_PCT
Alperen Sengun,Average (16-20),14,17.0,238,479.28000000000003,0.4965782006342847
Alperen Sengun,Elite (1-5),13,18.923076923076923,246,456.0,0.5394736842105263
Alperen Sengun,Good (6-15),18,18.833333333333332,339,615.52,0.5507538341564856
Alperen Sengun,Poor (21-30),27,23.814814814814813,643,1026.08,0.6266567908934976
Anthony Edwards,Average (16-20),14,25.0,350,588.96,0.5942678619940234
Anthony Edwards,Elite (1-5),11,29.545454545454547,325,505.52,0.642902357968033
Anthony Edwards,Good (6-15),14,30.428571428571427,426,663.12,0.6424176619616359
Anthony Edwards,Poor (21-30),22,29.818181818181817,656,1088.96,0.6024096385542168
Austin Reaves,Average (16-20),9,24.666666666666668,222,307.44,0.7220921155347385
Austin Reaves,Elite (1-5),11,19.90909090909091,219,363.36,0.6027080581241744
Austin Reaves,Good (6-15),14,23.428571428571427,328,548.3199999999999,0.5981908374671725
Austin Reaves,Poor (21-30),17,24.58823529411765,418,631.36,0.6620628484541308
Bam Adebayo,Average (16-20),11,20.818181818181817,229,390.56,0.5863375665710774
Bam Adebayo,Elite (1-5),17,19.88235294117647,338,621.2,0.5441081777205409
Bam Adebayo,Good (6-15),19,19.63157894736842,373,688.64,0.5416473048327137
Bam Adebayo,Poor (21-30),26,20.307692307692307,528,961.84,0.5489478499542543
Brandon Ingram,Average (16-20),11,19.727272727272727,217,402.79999999999995,0.5387288977159882
Brandon Ingram,Elite (1-5),12,19.833333333333332,238,421.36,0.5648376685019936
Brandon Ingram,Good (6-15),28,21.714285714285715,608,1090.4,0.5575935436537051
Brandon Ingram,Poor (21-30),26,22.76923076923077,592,974.72,0.6073539067629679
Brandon Miller,Average (16-20),10,22.4,224,342.08,0.6548175865294669
Brandon Miller,Elite (1-5),13,16.76923076923077,218,447.84000000000003,0.48678099321186136
Brandon Miller,Good (6-15),20,20.0,400,700.96,0.570645971239443
Brandon Miller,Poor (21-30),22,21.318181818181817,469,793.36,0.5911565997781587
Cade Cunningham,Average (16-20),7,23.857142857142858,167,289.44,0.5769762299613046
Cade Cunningham,Elite (1-5),11,25.454545454545453,280,495.59999999999997,0.5649717514124294
Cade Cunningham,Good (6-15),23,23.73913043478261,546,1001.2,0.5453455852976428
Cade Cunningham,Poor (21-30),23,23.391304347826086,538,927.92,0.5797913613242521
Cooper Flagg,Average (16-20),12,23.666666666666668,284,508.48,0.5585273757079924
Cooper Flagg,Elite (1-5),16,19.5,312,602.72,0.517653305017255
Cooper Flagg,Good (6-15),18,21.88888888888889,394,722.08,0.5456459118103257
Cooper Flagg,Poor (21-30),24,20.125,483,855.6800000000001,0.5644633507853403
Deni Avdija,Average (16-20),14,27.0,378,596.4,0.6338028169014085
Deni Avdija,Elite (1-5),14,26.071428571428573,365,615.44,0.5930716235538801
Deni Avdija,Good (6-15),13,20.384615384615383,265,478.96,0.5532821112410222
Deni Avdija,Poor (21-30),25,23.6,590,974.0,0.6057494866529775
Desmond Bane,Average (16-20),11,21.0,231,394.24,0.5859375
Desmond Bane,Elite (1-5),17,19.58823529411765,333,553.2,0.6019522776572668
Desmond Bane,Good (6-15),27,20.59259259259259,556,940.8,0.5909863945578232
Desmond Bane,Poor (21-30),27,19.51851851851852,527,826.24,0.6378292021688613
Devin Booker,Average (16-20),14,25.214285714285715,353,609.68,0.5789922582338276
