TEAM_ID,TEAM_NAME,DEF_RATING,DRTG_RANK,TIER
1610612760,Oklahoma City Thunder,106.5,1,Elite (1-5)
1610612765,Detroit Pistons,108.9,2,Elite (1-5)
1610612759,San Antonio Spurs,110.4,3,Elite (1-5)
1610612738,Boston Celtics,111.7,4,Elite (1-5)
1610612745,Houston Rockets,112.1,5,Elite (1-5)
1610612761,Toronto Raptors,112.1,5,Elite (1-5)
1610612752,New York Knicks,112.3,7,Good (6-15)
1610612750,Minnesota Timberwolves,112.5,8,Good (6-15)
1610612756,Phoenix Suns,112.9,9,Good (6-15)
1610612737,Atlanta Hawks,112.9,9,Good (6-15)
1610612766,Charlotte Hornets,113.5,11,Good (6-15)
1610612757,Portland Trail Blazers,113.5,11,Good (6-15)
1610612753,Orlando Magic,113.6,13,Good (6-15)
1610612748,Miami Heat,113.6,13,Good (6-15)
1610612739,Cleveland Cavaliers,114.1,15,Good (6-15)
1610612744,Golden State Warriors,114.4,16,Average (16-20)
1610612755,Philadelphia 76ers,114.4,16,Average (16-20)
1610612746,LA Clippers,115.2,18,Average (16-20)
1610612747,Los Angeles Lakers,115.5,19,Average (16-20)
1610612742,Dallas Mavericks,115.5,19,Average (16-20)
1610612743,Denver Nuggets,116.0,21,Poor (21-30)
1610612741,Chicago Bulls,117.4,22,Poor (21-30)
1610612740,New Orleans Pelicans,117.6,23,Poor (21-30)
1610612754,Indiana Pacers,117.9,24,Poor (21-30)
1610612751,Brooklyn Nets,118.2,25,Poor (21-30)
1610612749,Milwaukee Bucks,118.3,26,Poor (21-30)
1610612763,Memphis Grizzlies,118.4,27,Poor (21-30)
1610612758,Sacramento Kings,120.3,28,Poor (21-30)
1610612762,Utah Jazz,120.8,29,Poor (21-30)
1610612764,Washington Wizards,121.5,30,Poor (21-30)
